Participante,Data/Hora do Envio,Q1_PapelAtual,Q2_LinguagensMaisUsadas,Q3_ComoAprendeu,Q4_AmbientePreferido,Q5_FerramentasPlataformas,Q6_UsoDeIA,Q7_Motivacao,Q8_Desafios,Q9_TecnologiasParaAprender,Q10_PorQueContinua
LY69DF,2024-09-01 12:00:03,Pesquisador,Swift; Ruby; Dart; C#,Mentoria; Trabalho/Prática; Blogs/Artigos; Comunidades/Fóruns,Laboratório; Times pequenos; Presencial,GitLab; Docker; Bitbucket; VS Code,Uso para ideias,Resolver problemas; Carreira; Ensinar,Deploy; Mudanças constantes,Data Science; DevOps; Kotlin; Blockchain; Node.js,Ensinar; Desafios; Mercado aquecido; Boas oportunidades
IR98TT,2024-04-30 13:56:57,Estudante,Ruby; C++; Java; R; SQL,Tutoriais YouTube; Pós-graduação; Blogs/Artigos; Bootcamp,Presencial; Empresa grande; Times pequenos,Vim/Neovim; PyCharm; Kubernetes; Jupyter; Azure,Uso para revisar código,Inovação; Estabilidade; Reconhecimento; Pesquisa,Gerenciar tempo; Segurança; Teste/QA,Cloud AWS; Go; Swift; Cloud Azure; Kubernetes,Comunidade; Ensinar; Reconhecimento; Desafios
TK73LA,2024-09-18 08:55:10,Estagiário,C++; Rust; Java,Blogs/Artigos; Documentação oficial; Bootcamp; Hackathons,Times grandes; Academia; Laboratório,Azure; Docker; Eclipse; IntelliJ; Jupyter,Crio prompts avançados,Impacto; Estabilidade; Dinheiro; Propósito,Deploy; Mudanças constantes; Escalabilidade,React; Kubernetes; Cloud Azure; Blockchain,Crescimento pessoal; Impacto social
KN99TM,2024-07-18 09:08:56,Desenvolvedor Júnior,JavaScript; Python; Java,Outros; Livros,Híbrido; Consultoria; Startup,AWS; Docker; IntelliJ; Azure,Uso para testes,Desafio; Propósito; Pesquisa; Ensinar,Comunicação; Documentação; Infraestrutura; Dados ruins; Mudanças constantes,Blockchain; Data Science; Go,Remuneração; Comunidade; Crescimento pessoal
SZ82JX,2024-12-29 20:44:51,Desenvolvedor Pleno,Rust; PHP; JavaScript; Ruby,Documentação oficial; Blogs/Artigos; Projetos pessoais,Clima flexível; Academia; Governo,PyCharm; GitLab; AWS,Uso em produção,Reconhecimento; Criatividade; Resolver problemas; Autonomia; Dinheiro,Escalabilidade; Dados ruins; Deploy; Mudanças constantes,Rust; Cloud GCP; Swift,Flexibilidade; Trabalho remoto
CX50NG,2024-02-25 18:13:59,Desenvolvedor Sênior,Python; Kotlin; PHP; C#; R,Graduação; Trabalho/Prática; Blogs/Artigos; Cursos presenciais; Comunidades/Fóruns,Híbrido; Academia; Times pequenos; Clima flexível,Docker; Bitbucket,Uso para depurar,Estabilidade; Comunidade,Falta de requisitos; Escalabilidade; Gerenciar tempo; Bugs difíceis,DevOps; Cloud Azure,Ensinar; Trabalho remoto
UO41GO,2024-10-11 11:17:54,Estagiário,JavaScript; Kotlin; Java,Mentoria; Tutoriais YouTube; Livros; Outros,Academia; Governo,Eclipse; Docker; Azure; GitLab,Uso para testes,Inovação; Reconhecimento; Aprender; Impacto,Dados ruins; Gerenciar tempo; Bugs difíceis,Swift; Flutter,Comunidade; Empreender; Remuneração
JG59XA,2024-05-03 17:15:53,Outro,Python; Swift; C#,Bootcamp; Livros; Tutoriais YouTube; Documentação oficial,Empresa grande; Multinacional,GCP; PyCharm; Jupyter; AWS; VS Code,Uso semanalmente,Desafio; Autonomia,Falta de requisitos; Infraestrutura,Blockchain; Rust; Kubernetes,Paixão; Pesquisa; Comunidade; Desafios; Impacto social
ZE68ZB,2024-08-06 17:30:57,Professor,Rust; Ruby; Go; C#; Python,Documentação oficial; Cursos presenciais; Mentoria; Outros,Times pequenos; Open source; Academia; Presencial; Freelancer,GitHub; AWS; Bitbucket; IntelliJ,Uso para revisar código,Comunidade; Impacto; Autonomia; Ensinar,Ferramentas novas; Bugs difíceis; Documentação; Falta de requisitos,Node.js; Kotlin; React,Comunidade; Remuneração; Impacto social; Crescimento pessoal; Ensinar
AI77DZ,2024-04-20 06:23:58,Desenvolvedor Pleno,Rust; Dart,Comunidades/Fóruns; Documentação oficial; Hackathons; Trabalho/Prática,Remoto; Times grandes; Clima flexível,Eclipse; Bitbucket; GitLab; Vim/Neovim,Uso em produção,Reconhecimento; Resolver problemas; Desafio; Aprender; Criatividade,Deploy; Mudanças constantes; Bugs difíceis; Complexidade do código,React; Kotlin,Flexibilidade; Desafios
RP98GB,2024-08-18 15:57:38,Estudante,Kotlin; Swift; Ruby; Python; C#,Tutoriais YouTube; Livros,Academia; Startup; Clima flexível,IntelliJ; AWS,Uso para gerar código,Propósito; Desafio; Autonomia,Teste/QA; Dados ruins; Documentação; Deploy,Cloud Azure; Cloud GCP; Cloud AWS; Kotlin,Impacto social; Desafios; Empreender
DH48HX,2024-08-23 09:54:56,Empreendedor,Dart; C#,Graduação; Cursos presenciais; Pós-graduação; Comunidades/Fóruns,Remoto; Governo; Times grandes,VS Code; Kubernetes; Figma,Uso para revisar código,Carreira; Autonomia; Comunidade,Mudanças constantes; Débito técnico; Ferramentas novas; Falta de requisitos; Complexidade do código,Rust; Kubernetes,Desafios; Curiosidade; Mercado aquecido; Reconhecimento; Comunidade
MD71MF,2024-05-16 00:38:17,Analista de Dados,C++; SQL; C#; Python; Ruby,Hackathons; Outros,Academia; Governo; Laboratório,AWS; Kubernetes,Nunca uso,Inovação; Comunidade; Desafio; Impacto; Propósito,Mudanças constantes; Débito técnico; Complexidade do código; Ferramentas novas; Documentação,DevOps; Cloud Azure; Blockchain; Kubernetes,Boas oportunidades; Reconhecimento
LU57WQ,2024-05-21 09:25:36,Empreendedor,PHP; Ruby; JavaScript,Pós-graduação; Comunidades/Fóruns; Trabalho/Prática; Livros; Blogs/Artigos,Governo; Empresa grande; Freelancer,GCP; Jupyter; PyCharm; GitLab; AWS,Uso com copilotos,Aprender; Propósito,Débito técnico; Segurança; Gerenciar tempo,Data Science; Rust; Cloud Azure,Paixão; Trabalho remoto
ZS26SE,2024-05-17 11:31:56,Empreendedor,Rust; C++; R; TypeScript; Dart,Bootcamp; Trabalho/Prática; Cursos presenciais,Laboratório; Clima flexível; Freelancer; Híbrido,PyCharm; GitHub,Uso diariamente,Impacto; Autonomia,Complexidade do código; Escalabilidade,Go; Rust; React; IA/ML,Comunidade; Remuneração; Pesquisa; Mercado aquecido; Flexibilidade
FS58UC,2024-10-27 08:41:39,Desenvolvedor Pleno,C#; Go; C++; Python,Comunidades/Fóruns; Trabalho/Prática,Open source; Presencial; Times grandes,Jupyter; Azure; Docker; GCP,Uso para ideias,Criatividade; Desafio,Deploy; Bugs difíceis,Cloud AWS; Kubernetes,Crescimento pessoal; Reconhecimento; Comunidade; Curiosidade; Mercado aquecido
XT22MX,2024-02-17 19:21:27,UX/UI,Dart; Rust; Swift,Cursos presenciais; Hackathons; Projetos pessoais; Documentação oficial; Pós-graduação,Consultoria; Freelancer,Figma; GitHub; Bitbucket; GitLab; Docker,Uso com copilotos,Inovação; Dinheiro; Propósito; Carreira; Resolver problemas,Complexidade do código; Dados ruins; Segurança; Bugs difíceis,Flutter; Data Science; Swift,Mercado aquecido; Empreender; Crescimento pessoal; Impacto social
KI54TM,2024-09-29 22:45:03,Produto/PO,TypeScript; Swift; JavaScript; Go; Ruby,Tutoriais YouTube; Blogs/Artigos,Startup; Laboratório; Academia; Presencial; Remoto,GitLab; VS Code; Docker; AWS,Uso semanalmente,Estabilidade; Propósito,Débito técnico; Comunicação; Deploy,DevOps; Kotlin; Cloud AWS; Data Science,Comunidade; Empreender; Reconhecimento; Crescimento pessoal; Paixão
XO09IY,2024-08-15 23:34:23,Desenvolvedor Júnior,Dart; JavaScript; C++; Java; Kotlin,Mentoria; Blogs/Artigos; Tutoriais YouTube,Laboratório; Clima flexível; Multinacional; Presencial,AWS; GitHub,Uso para revisar código,Resolver problemas; Comunidade,Segurança; Complexidade do código; Bugs difíceis,React; DevOps; IA/ML; Kotlin; Cloud GCP,Flexibilidade; Boas oportunidades; Crescimento pessoal; Remuneração; Impacto social
QK18VL,2024-02-14 18:11:59,Empreendedor,C#; Dart; Python; Swift,Cursos online; Trabalho/Prática,Open source; Remoto; Times pequenos,GitLab; Eclipse; IntelliJ,Crio prompts avançados,Reconhecimento; Criatividade; Propósito,Documentação; Deploy; Segurança; Infraestrutura; Gerenciar tempo,Rust; IA/ML; Kotlin; Flutter,Remuneração; Curiosidade; Paixão; Boas oportunidades; Trabalho remoto
OQ32UK,2024-06-25 03:20:15,Estagiário,Java; Go,Livros; Outros; Pós-graduação; Documentação oficial; Mentoria,Freelancer; Times pequenos; Multinacional,GitHub; Bitbucket; Jupyter; Docker,Uso semanalmente,Reconhecimento; Ensinar; Resolver problemas; Criatividade,Ferramentas novas; Complexidade do código; Falta de requisitos,Cloud Azure; Cloud AWS; Data Science; IA/ML; Cloud GCP,Empreender; Trabalho remoto; Impacto social; Boas oportunidades; Mercado aquecido
PV36BF,2024-02-23 22:47:52,Outro,SQL; Java,Livros; Comunidades/Fóruns; Bootcamp,Governo; Times grandes; Open source; Startup; Multinacional,Vim/Neovim; Azure; GitLab; GCP,Uso para gerar código,Desafio; Criatividade; Resolver problemas; Autonomia; Aprender,Segurança; Débito técnico; Falta de requisitos; Gerenciar tempo; Bugs difíceis,IA/ML; Flutter,Curiosidade; Empreender; Desafios; Paixão
DH32AD,2024-10-31 09:28:32,Produto/PO,Python; C++; R; C#; Java,Cursos online; Cursos presenciais; Comunidades/Fóruns; Documentação oficial; Blogs/Artigos,Laboratório; Open source,Azure; Kubernetes; Jupyter; Docker,Uso para depurar,Inovação; Impacto; Reconhecimento,Documentação; Ferramentas novas; Deploy; Segurança; Débito técnico,Data Science; React; Swift; Kotlin,Impacto social; Boas oportunidades; Reconhecimento; Crescimento pessoal; Remuneração
QK38AH,2024-08-07 15:55:53,Empreendedor,Dart; Rust,Projetos pessoais; Outros,Open source; Híbrido; Times pequenos,IntelliJ; PyCharm; AWS,Uso semanalmente,Resolver problemas; Inovação; Criatividade,Bugs difíceis; Complexidade do código; Infraestrutura; Dados ruins,Rust; Kubernetes,Remuneração; Impacto social
CO09MB,2024-02-06 04:47:19,Desenvolvedor Sênior,PHP; SQL,Tutoriais YouTube; Comunidades/Fóruns; Pós-graduação; Documentação oficial,Multinacional; Freelancer; Presencial; Times grandes; Consultoria,Jupyter; Docker,Outro,Reconhecimento; Inovação,Gerenciar tempo; Teste/QA; Documentação,Rust; Swift; IA/ML; Cloud GCP; Cloud AWS,Comunidade; Flexibilidade; Curiosidade
GZ34PA,2024-09-25 16:27:48,Desenvolvedor Júnior,Kotlin; Go,Outros; Cursos online,Laboratório; Academia; Multinacional,GitLab; Docker; AWS; PyCharm; GCP,Uso com copilotos,Reconhecimento; Aprender,Deploy; Complexidade do código; Bugs difíceis; Infraestrutura; Teste/QA,Kubernetes; Cloud AWS; React; Flutter,Curiosidade; Flexibilidade
GE22LQ,2024-04-15 13:55:34,Professor,JavaScript; PHP; TypeScript; SQL; Java,Livros; Tutoriais YouTube; Comunidades/Fóruns; Mentoria; Blogs/Artigos,Times pequenos; Clima flexível; Open source,GitLab; Docker,Uso para documentação,Inovação; Carreira,Mudanças constantes; Escalabilidade; Débito técnico,Kubernetes; Rust; Cloud GCP; Node.js,Impacto social; Remuneração; Trabalho remoto; Flexibilidade
YC75RH,2024-09-12 15:44:35,QA/Testes,Ruby; TypeScript; Python; JavaScript,Pós-graduação; Bootcamp,Clima flexível; Startup; Times grandes; Consultoria,GCP; Kubernetes; AWS,Nunca uso,Aprender; Criatividade; Inovação,Teste/QA; Bugs difíceis; Gerenciar tempo; Ferramentas novas; Comunicação,Data Science; Flutter; Cloud GCP,Desafios; Pesquisa; Ensinar; Reconhecimento; Trabalho remoto
OQ32UK,2024-06-25 03:20:15,Estagiário,Java; Go,Livros; Outros; Pós-graduação; Documentação oficial; Mentoria,Freelancer; Times pequenos; Multinacional,GitHub; Bitbucket; Jupyter; Docker,Uso semanalmente,Reconhecimento; Ensinar; Resolver problemas; Criatividade,Ferramentas novas; Complexidade do código; Falta de requisitos,Cloud Azure; Cloud AWS; Data Science; IA/ML; Cloud GCP,Empreender; Trabalho remoto; Impacto social; Boas oportunidades; Mercado aquecido
FP13LF,2024-05-19 06:18:09,Desenvolvedor Sênior,PHP; Java; Python,Bootcamp; Graduação,Times pequenos; Open source,Docker; IntelliJ; GitLab; Jupyter; Eclipse,Outro,Autonomia; Impacto; Inovação; Estabilidade,Teste/QA; Mudanças constantes; Comunicação,Kubernetes; Node.js,Empreender; Boas oportunidades; Trabalho remoto; Flexibilidade; Pesquisa
OQ32UK,2024-06-25 03:20:15,Estagiário,Java; Go,Livros; Outros; Pós-graduação; Documentação oficial; Mentoria,Freelancer; Times pequenos; Multinacional,GitHub; Bitbucket; Jupyter; Docker,Uso semanalmente,Reconhecimento; Ensinar; Resolver problemas; Criatividade,Ferramentas novas; Complexidade do código; Falta de requisitos,Cloud Azure; Cloud AWS; Data Science; IA/ML; Cloud GCP,Empreender; Trabalho remoto; Impacto social; Boas oportunidades; Mercado aquecido
LU57WQ,2024-05-21 09:25:36,Empreendedor,PHP; Ruby; JavaScript,Pós-graduação; Comunidades/Fóruns; Trabalho/Prática; Livros; Blogs/Artigos,Governo; Empresa grande; Freelancer,GCP; Jupyter; PyCharm; GitLab; AWS,Uso com copilotos,Aprender; Propósito,Débito técnico; Segurança; Gerenciar tempo,Data Science; Rust; Cloud Azure,Paixão; Trabalho remoto
EC74XS,2024-04-16 01:47:54,Desenvolvedor Sênior,Ruby; Kotlin,Cursos presenciais; Projetos pessoais; Blogs/Artigos; Graduação; Pós-graduação,Laboratório; Consultoria,VS Code; Figma; Kubernetes; Docker; GitLab,Uso para documentação,Aprender; Autonomia; Ensinar,Documentação; Falta de requisitos,Flutter; Rust; Cloud Azure; Cloud GCP,Comunidade; Desafios
LK49IE,2024-09-25 18:32:45,DevOps/Infra,Dart; SQL; Rust; C++,Projetos pessoais; Tutoriais YouTube,Laboratório; Governo,AWS; Vim/Neovim; Jupyter,Uso raramente,Criatividade; Estabilidade,Falta de requisitos; Ferramentas novas; Teste/QA; Escalabilidade,Cloud AWS; Flutter; Rust; DevOps; React,Pesquisa; Empreender
EH96XM,2024-09-07 22:06:09,DevOps/Infra,Ruby; Rust,Graduação; Hackathons,Laboratório; Times grandes; Freelancer,VS Code; IntelliJ; Kubernetes; Azure; Eclipse,Outro,Resolver problemas; Carreira; Criatividade; Desafio; Estabilidade,Escalabilidade; Dados ruins; Complexidade do código,Data Science; Flutter,Comunidade; Crescimento pessoal; Curiosidade; Remuneração; Impacto social
SI17UO,2024-06-02 09:17:55,QA/Testes,C#; Kotlin; PHP; Ruby; TypeScript,Pós-graduação; Trabalho/Prática,Presencial; Times pequenos; Multinacional; Startup; Remoto,Kubernetes; IntelliJ,Outro,Desafio; Carreira,Documentação; Infraestrutura; Falta de requisitos,Go; Kotlin; Data Science,Paixão; Reconhecimento; Empreender
PE36AW,2024-04-09 08:07:40,Empreendedor,Kotlin; Python,Trabalho/Prática; Blogs/Artigos,Remoto; Multinacional,Docker; Kubernetes,Uso para documentação,Reconhecimento; Carreira,Escalabilidade; Débito técnico; Comunicação; Dados ruins; Deploy,Cloud GCP; Kubernetes,Comunidade; Remuneração
IZ51VU,2024-10-23 19:07:12,Estudante,PHP; JavaScript; R,Graduação; Hackathons; Tutoriais YouTube; Outros,Academia; Presencial; Open source; Startup,IntelliJ; PyCharm,Treino modelos,Inovação; Impacto; Aprender; Pesquisa; Resolver problemas,Gerenciar tempo; Débito técnico,Flutter; Kotlin,Impacto social; Pesquisa; Ensinar; Flexibilidade
EI00AU,2024-02-29 10:30:59,Estudante,Kotlin; TypeScript,Projetos pessoais; Outros,Open source; Consultoria; Times pequenos,IntelliJ; Eclipse; GCP; Bitbucket,Uso para gerar código,Reconhecimento; Propósito; Dinheiro,Documentação; Falta de requisitos; Deploy; Gerenciar tempo; Segurança,Blockchain; Cloud AWS,Comunidade; Trabalho remoto
SE29PO,2024-10-17 11:38:15,Cientista de Dados,Python; Kotlin,Comunidades/Fóruns; Blogs/Artigos; Outros; Graduação; Cursos online,Times pequenos; Presencial,Azure; PyCharm,Uso com copilotos,Comunidade; Resolver problemas; Autonomia,Teste/QA; Dados ruins; Gerenciar tempo,Kubernetes; Kotlin,Reconhecimento; Desafios; Boas oportunidades; Comunidade
AC02KU,2024-07-12 13:23:06,Cientista de Dados,Ruby; SQL; Python; PHP; JavaScript,Cursos online; Bootcamp; Hackathons,Híbrido; Academia; Open source; Presencial; Startup,Bitbucket; Docker; VS Code; PyCharm,Treino modelos,Comunidade; Inovação; Pesquisa,Escalabilidade; Gerenciar tempo; Comunicação,Flutter; React; Data Science; Go; Kotlin,Flexibilidade; Impacto social; Comunidade
XP46UB,2024-09-17 15:53:14,UX/UI,PHP; Rust; SQL; Ruby; Swift,Cursos online; Graduação; Mentoria,Remoto; Presencial; Híbrido; Startup; Consultoria,Jupyter; Docker; Azure; VS Code,Uso para ideias,Estabilidade; Pesquisa; Criatividade,Ferramentas novas; Documentação; Complexidade do código; Teste/QA,Go; DevOps; Kubernetes,Comunidade; Desafios; Boas oportunidades; Curiosidade
FT96LF,2024-12-14 04:51:07,Estagiário,SQL; JavaScript; Kotlin,Documentação oficial; Tutoriais YouTube; Outros; Graduação; Pós-graduação,Consultoria; Híbrido; Startup; Academia,GitLab; GitHub; VS Code; GCP,Outro,Dinheiro; Reconhecimento; Autonomia; Propósito,Escalabilidade; Infraestrutura; Falta de requisitos,React; Blockchain,Flexibilidade; Impacto social; Curiosidade
FT96LF,2024-12-14 04:51:07,Estagiário,SQL; JavaScript; Kotlin,Documentação oficial; Tutoriais YouTube; Outros; Graduação; Pós-graduação,Consultoria; Híbrido; Startup; Academia,GitLab; GitHub; VS Code; GCP,Outro,Dinheiro; Reconhecimento; Autonomia; Propósito,Escalabilidade; Infraestrutura; Falta de requisitos,React; Blockchain,Flexibilidade; Impacto social; Curiosidade
PI63IG,2024-05-20 06:43:37,UX/UI,TypeScript; Kotlin; Python; PHP; Ruby,Cursos online; Livros,Multinacional; Times pequenos; Presencial; Remoto; Governo,Bitbucket; AWS,Uso para gerar código,Criatividade; Pesquisa; Autonomia,Mudanças constantes; Infraestrutura; Deploy; Comunicação; Gerenciar tempo,IA/ML; Kotlin; DevOps; Blockchain,Comunidade; Flexibilidade; Boas oportunidades; Trabalho remoto
OK58TS,2024-05-02 03:20:48,Pesquisador,C++; TypeScript,Livros; Pós-graduação,Open source; Times pequenos; Empresa grande; Startup,IntelliJ; PyCharm; Jupyter; VS Code,Treino modelos,Ensinar; Resolver problemas; Pesquisa,Documentação; Ferramentas novas,Cloud Azure; DevOps; Rust,Ensinar; Crescimento pessoal; Mercado aquecido; Curiosidade
CN25AS,2024-12-28 23:36:51,Cientista de Dados,Rust; Ruby; Java; Python; JavaScript,Trabalho/Prática; Bootcamp,Presencial; Times pequenos; Times grandes,GitHub; VS Code; Figma,Uso semanalmente,Propósito; Dinheiro; Ensinar,Falta de requisitos; Ferramentas novas; Gerenciar tempo,Cloud Azure; Swift; Cloud AWS; IA/ML; Data Science,Crescimento pessoal; Comunidade; Ensinar
VM60GJ,2024-08-24 12:33:37,Estudante,Dart; TypeScript; Kotlin; Swift; Rust,Projetos pessoais; Mentoria; Cursos online; Graduação,Open source; Remoto; Startup; Consultoria; Academia,Eclipse; VS Code; GitLab; Azure,Uso para testes,Autonomia; Impacto; Estabilidade,Bugs difíceis; Comunicação,Cloud AWS; Data Science,Ensinar; Impacto social; Crescimento pessoal; Comunidade
IO21OU,2024-11-30 23:53:59,Desenvolvedor Júnior,Ruby; Dart; Rust; Java,Outros; Hackathons; Graduação; Trabalho/Prática; Mentoria,Freelancer; Híbrido; Academia,IntelliJ; Jupyter,Crio prompts avançados,Desafio; Aprender; Inovação,Dados ruins; Infraestrutura; Segurança; Falta de requisitos,Flutter; Node.js; Kotlin; Blockchain; Cloud GCP,Ensinar; Boas oportunidades; Curiosidade
ZS26SE,2024-05-17 11:31:56,Empreendedor,Rust; C++; R; TypeScript; Dart,Bootcamp; Trabalho/Prática; Cursos presenciais,Laboratório; Clima flexível; Freelancer; Híbrido,PyCharm; GitHub,Uso diariamente,Impacto; Autonomia,Complexidade do código; Escalabilidade,Go; Rust; React; IA/ML,Comunidade; Remuneração; Pesquisa; Mercado aquecido; Flexibilidade
IH61PQ,2024-06-06 11:26:39,Professor,Rust; PHP; JavaScript; TypeScript; Swift,Graduação; Outros,Freelancer; Startup; Remoto; Empresa grande; Laboratório,Kubernetes; GitLab; Vim/Neovim,Uso para revisar código,Autonomia; Desafio; Ensinar; Aprender,Deploy; Bugs difíceis; Escalabilidade; Comunicação,Kotlin; Data Science,Desafios; Mercado aquecido; Impacto social; Comunidade; Remuneração
SR59TM,2024-02-21 04:25:15,Estagiário,JavaScript; Go; C++; Swift; Ruby,Livros; Pós-graduação; Blogs/Artigos; Graduação; Mentoria,Times grandes; Freelancer; Laboratório; Presencial,GitLab; Bitbucket; Jupyter; Kubernetes,Uso para depurar,Resolver problemas; Pesquisa,Bugs difíceis; Ferramentas novas,Node.js; Cloud AWS; Cloud GCP; DevOps; Swift,Remuneração; Curiosidade; Impacto social
VF21QF,2024-06-11 21:52:17,DevOps/Infra,C#; SQL,Livros; Blogs/Artigos; Documentação oficial; Cursos online; Projetos pessoais,Times pequenos; Presencial; Multinacional; Consultoria,Vim/Neovim; GitLab,Treino modelos,Aprender; Inovação,Débito técnico; Ferramentas novas; Infraestrutura; Teste/QA,Flutter; Swift,Remuneração; Paixão; Trabalho remoto; Pesquisa; Mercado aquecido
IX11FE,2024-12-14 09:10:29,QA/Testes,TypeScript; Go,Cursos presenciais; Blogs/Artigos,Times grandes; Remoto; Open source,Vim/Neovim; GitHub; Jupyter; IntelliJ,Crio prompts avançados,Ensinar; Autonomia; Reconhecimento; Criatividade; Impacto,Gerenciar tempo; Escalabilidade; Complexidade do código; Comunicação,Node.js; Flutter; Cloud AWS,Desafios; Mercado aquecido; Boas oportunidades
GI07EJ,2024-09-30 06:41:29,Desenvolvedor Pleno,JavaScript; TypeScript; Ruby; Python,Cursos online; Livros; Cursos presenciais; Documentação oficial; Mentoria,Governo; Laboratório; Multinacional; Consultoria; Times pequenos,PyCharm; Docker; VS Code; Jupyter,Uso semanalmente,Propósito; Desafio; Criatividade; Resolver problemas; Comunidade,Comunicação; Infraestrutura,Go; Data Science; Kubernetes; Cloud GCP; DevOps,Crescimento pessoal; Ensinar; Mercado aquecido
BB32RU,2024-05-27 09:43:21,Desenvolvedor Sênior,Dart; Java; Kotlin,Cursos presenciais; Graduação; Documentação oficial; Blogs/Artigos; Mentoria,Consultoria; Open source; Times grandes; Híbrido; Academia,Azure; Kubernetes; GCP,Uso para depurar,Criatividade; Inovação; Desafio; Pesquisa,Complexidade do código; Falta de requisitos; Documentação,Flutter; Data Science; DevOps; Go,Comunidade; Reconhecimento; Pesquisa
EB75TM,2024-10-29 03:38:39,Cientista de Dados,Go; Rust,Mentoria; Cursos online; Projetos pessoais,Open source; Consultoria; Remoto; Clima flexível,Bitbucket; Docker; Figma; GCP; PyCharm,Uso para depurar,Resolver problemas; Ensinar; Criatividade; Autonomia; Impacto,Débito técnico; Falta de requisitos,Kubernetes; Swift; Go; Cloud GCP,Remuneração; Trabalho remoto; Impacto social; Curiosidade; Pesquisa
ZC18MG,2024-02-24 21:17:46,Analista de Dados,Rust; Ruby; Kotlin; C#; Python,Bootcamp; Tutoriais YouTube; Outros; Projetos pessoais; Documentação oficial,Remoto; Freelancer; Multinacional,Bitbucket; VS Code; Vim/Neovim; GitHub; Eclipse,Treino modelos,Reconhecimento; Pesquisa; Criatividade; Estabilidade; Dinheiro,Ferramentas novas; Escalabilidade; Dados ruins; Mudanças constantes,Blockchain; Data Science,Pesquisa; Curiosidade; Impacto social; Mercado aquecido; Paixão
YX75AA,2024-10-11 21:40:40,Desenvolvedor Pleno,Ruby; PHP; C++,Cursos presenciais; Tutoriais YouTube; Comunidades/Fóruns,Presencial; Híbrido; Remoto; Empresa grande,Kubernetes; GitHub; AWS; Azure,Uso para testes,Comunidade; Estabilidade; Impacto; Criatividade,Bugs difíceis; Documentação; Comunicação; Débito técnico; Infraestrutura,Cloud Azure; Blockchain,Boas oportunidades; Pesquisa; Paixão
CA10UO,2024-12-01 17:38:29,Estagiário,Java; Swift; Ruby; SQL,Pós-graduação; Blogs/Artigos; Outros; Mentoria; Livros,Freelancer; Governo; Academia; Presencial,Kubernetes; Docker,Uso com copilotos,Propósito; Resolver problemas; Autonomia; Ensinar; Impacto,Complexidade do código; Dados ruins; Ferramentas novas; Comunicação,Swift; Go,Paixão; Boas oportunidades; Desafios; Ensinar
JX30LR,2024-05-15 03:53:40,Cientista de Dados,TypeScript; R; Java; C#,Livros; Blogs/Artigos; Cursos presenciais; Graduação,Open source; Laboratório; Remoto; Híbrido,AWS; VS Code,Treino modelos,Inovação; Ensinar,Gerenciar tempo; Comunicação,React; Flutter,Remuneração; Boas oportunidades; Curiosidade; Flexibilidade; Impacto social
WH61BX,2024-07-02 23:29:02,Analista de Dados,Java; PHP,Comunidades/Fóruns; Graduação,Híbrido; Times grandes; Clima flexível; Presencial; Startup,IntelliJ; Docker,Uso raramente,Dinheiro; Desafio; Impacto; Carreira; Reconhecimento,Dados ruins; Ferramentas novas; Débito técnico; Teste/QA,Rust; Kubernetes; Cloud AWS,Desafios; Crescimento pessoal; Reconhecimento; Trabalho remoto; Boas oportunidades
CQ64MT,2024-12-26 02:23:59,QA/Testes,Swift; Go,Trabalho/Prática; Bootcamp,Startup; Times grandes; Clima flexível; Open source; Academia,PyCharm; Eclipse; Kubernetes; Figma; Jupyter,Treino modelos,Comunidade; Propósito; Estabilidade; Desafio; Ensinar,Bugs difíceis; Documentação,Go; Cloud GCP; Node.js,Desafios; Empreender; Ensinar; Impacto social
LC64YW,2024-09-05 18:38:39,Empreendedor,TypeScript; Swift; Kotlin; SQL,Blogs/Artigos; Cursos presenciais; Outros; Graduação; Documentação oficial,Freelancer; Times grandes; Consultoria,GitHub; Vim/Neovim; Azure; GCP,Uso para documentação,Ensinar; Pesquisa; Inovação; Criatividade,Infraestrutura; Débito técnico; Segurança; Gerenciar tempo; Documentação,Kotlin; Cloud GCP; Flutter,Boas oportunidades; Mercado aquecido
KT74CW,2024-11-19 20:07:30,Analista de Dados,Ruby; Java,Graduação; Comunidades/Fóruns,Times grandes; Laboratório; Freelancer; Presencial; Times pequenos,GitHub; Vim/Neovim; PyCharm,Uso para revisar código,Autonomia; Ensinar; Propósito; Resolver problemas,Complexidade do código; Escalabilidade,Rust; Kubernetes; Kotlin; Blockchain,Desafios; Ensinar; Flexibilidade; Pesquisa; Mercado aquecido
PV36BF,2024-02-23 22:47:52,Outro,SQL; Java,Livros; Comunidades/Fóruns; Bootcamp,Governo; Times grandes; Open source; Startup; Multinacional,Vim/Neovim; Azure; GitLab; GCP,Uso para gerar código,Desafio; Criatividade; Resolver problemas; Autonomia; Aprender,Segurança; Débito técnico; Falta de requisitos; Gerenciar tempo; Bugs difíceis,IA/ML; Flutter,Curiosidade; Empreender; Desafios; Paixão
RA36UO,2024-05-25 04:54:38,Pesquisador,Python; Java,Graduação; Blogs/Artigos; Projetos pessoais; Hackathons; Tutoriais YouTube,Empresa grande; Governo,Eclipse; PyCharm; Docker,Uso diariamente,Propósito; Inovação; Dinheiro; Desafio; Criatividade,Documentação; Infraestrutura,Blockchain; Kotlin,Ensinar; Flexibilidade
